Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score
Random,475425," So yeah, I've got the Sears catalog thing going -- and the tube sock gig "" that's gonna be huge.  And then I'm up for an ad for Queen Harry next week.
",2,0,3,0,5,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A28K8ST8B2XU0N,A3IHLWMZNBLUR4,0.4
Random,161073," Mozart! Herr Mozart, may I have a word with you please. Right away.
",2,0,7,0,7,A233ONYNWKDIYF,APDWVWS2HMSFD,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A2CE0KVP4A8J8K,0.7
Random,574481," Please, could I please come in and talk to you for a minute? Maybe you could take a better look at the picture... might stir up something.
",2,0,7,0,10,AW6UIL04MLQ9N,A34A6MSJTD9A4L,A3MN5VOZFQPNZF,AC25X12LNYY6Y,A1DTQSIIYIZL62,0.85
Random,355457," Thelma, please get a hold of yourself.  You're making a spectacle.
",2,0,7,0,7,A2VMJFBCB921NI,A2UBXHCHM2I6IL,A38WUWONC7EXTO,A1RT9SQ9D9DLOV,A1Y3Z92RE62NPS,0.7
Random,471850," Ladder 20 was on the Rock for training. We stopped there... so she could get cleaned up.
",2,0,5,0,3,AISPSIJ54U4SC,A1QV3X9YMQQ3OQ,AC25X12LNYY6Y,AZOAW8JH5HJJK,AEYHIQUDWJ3KV,0.4
Random,469273," You know what they say
",2,0,5,0,7,A1J7EVLCZZQSEM,A16PRU8T6NZLN5,AEWF3138PFWEN,A1TMK6G1BLKVS2,A3EJ5TT2ZGBIDA,0.6
Random,131592," You'll be drinking your own piss... For the glory of Spain... and Admiral Colon...!  Bastard!
",2,0,1,0,1,AD317NO9623GZ,A28TXBSZPWMEU9,A28K8ST8B2XU0N,A28ZB4ZB13BWAI,A29B522D0BX6HN,0.1
Random,625709," Positions, please. And strap yourselves in.
",2,0,7,0,7,A233ONYNWKDIYF,AEWF3138PFWEN,A1GWSZ4I2QGCNJ,A2ULMYRKQMNNFG,AZ1RJVNOZFIWV,0.7
Random,625706," You could consecrate with her, my friend.
",2,0,5,0,7,A233ONYNWKDIYF,A38WUWONC7EXTO,A1CIIX0CB0GR7H,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,0.6
Random,624380," Steve, dear, please forget all of this.  What can it matter after tomorrow?
",2,0,7,0,7,A2WKPCZU4U110T,AYG3MF094634L,A3LXBP8T6JMY9B,A1RT9SQ9D9DLOV,A2BE71BN177IH3,0.7
Random,195383," Please please please. I'll do anything. Just don't call my mom.
",2,0,10,0,10,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28ZB4ZB13BWAI,A3IHLWMZNBLUR4,1
Random,625703," Don ' t you even dare. . .
",2,0,3,0,1,A3G9MSZVWB7W42,A36UK50UE5YFVZ,A1JMINVUZ2AOZR,A3CA5S8GR8TZ1U,A38N58BSMTA0BE,0.2
Random,625700," Oh, and could I get a quart of Wild Turkey, two fifths of Baccardi, and a night's worth of ice delivered to my room, please?
",2,0,7,0,7,ANGX5PAAYGL9P,A2YFPO0N4GIS25,A1BJTTNDDFZ3ZP,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,0.7
Random,102052," Look, Eddie, I'm tellin' you - I didn't touch her.
",2,0,5,0,3,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,A3GOI327COFGY5,0.4
Random,629959," C'esc ma tete. This is my head
",2,0,5,0,3,A2VMJFBCB921NI,A2C7SCWZI379A9,A1RT9SQ9D9DLOV,A1Y3Z92RE62NPS,A2WZQ92N4809N1,0.4
Random,625921," Sure thing, please don't worry about me. Can I help you with the dishes?
",2,0,7,0,7,A2UFD1I8ZO1V4G,A6YO9886DY2SC,AO5E3LWBYM72K,ARYGQ46IMW8AU,A1Y3Z92RE62NPS,0.7
Random,629953," Las Vegas, please. I do not speak English.
",2,0,7,0,7,AO5E3LWBYM72K,A3MN5VOZFQPNZF,A1E0EK09CA5OIO,A1F4D2PZ7NNWTL,AZOAW8JH5HJJK,0.7
Random,524207," No, please. Go ahead, it's your funeral...
",2,0,7,0,3,A233ONYNWKDIYF,AO5E3LWBYM72K,A3LXBP8T6JMY9B,A204JAK7QRDWVM,A1KC138MX47DXA,0.5
Random,513734," You'll be held in detention, deprived of your privileges and possessions.  Until you are returned to Spain where you will be judged. Have you anything to say?
",2,0,3,0,5,A233ONYNWKDIYF,APDWVWS2HMSFD,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A2CE0KVP4A8J8K,0.4
Random,420628," Yes.  It would be a pity, wouldn't it?  Call him back!
",2,0,3,0,7,A233ONYNWKDIYF,A1QV3X9YMQQ3OQ,A3OW54MEVDKXJL,A1JK9DYKWYZZEK,AZ1RJVNOZFIWV,0.5
Random,522556," I'm leaving.  You never have to see me again.  Just please, give me the ticket!
",2,0,3,0,3,A1RPVYUPJZGM9Z,A199E33VY97TR,AYG3MF094634L,AO5E3LWBYM72K,A3MN5VOZFQPNZF,0.3
Random,88153," Your mother was blind?
",2,0,5,0,1,A1R4VG71V6XECZ,A2WKPCZU4U110T,AYG3MF094634L,A26NYABOD7YBW8,A13CO3B2BRXQLZ,0.3
Random,223328," Kat a fan, too?
",2,0,5,0,5,A2UFD1I8ZO1V4G,AO5E3LWBYM72K,A2MWGIVIKOXWYM,A1GK3MPU2HL0C8,A1F4D2PZ7NNWTL,0.5
Random,565445," Just five dollars, please.
",2,0,7,0,7,A2WKPCZU4U110T,A22SZHZTF72TRM,A3L8MJ1C4OEDGV,A3E157ZN8XPUKJ,AC25X12LNYY6Y,0.7
Random,286300," Is that all there is?
",2,0,5,0,5,A21753FQKCM5DQ,A2UFD1I8ZO1V4G,AAZKHFKG1B8VQ,A2LQ33BQ8G259D,A1F4D2PZ7NNWTL,0.5
Random,192776," Don't, no, please.  Will you-- No, don't...
",2,0,7,0,7,AISPSIJ54U4SC,AE3D6SE2D8UPQ,AYG3MF094634L,A1E0EK09CA5OIO,AZOAW8JH5HJJK,0.7
Random,244240," Yes, so I've heard, a shame... As you know, we in the Soviet Union have the keenest interest in developments of the First American Financial Corporation... We are pleased to hear that you may fill Benjamin's place should he fail to recover.  Be seated, please, Mr. Gardiner.
",2,0,1,0,1,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,AIPK94CUWL45W,0.1
Random,4026," Doctors, if you please - - I have to insist we get moving.
",2,0,1,0,1,A2VMJFBCB921NI,A2C7SCWZI379A9,A1RT9SQ9D9DLOV,A1Y3Z92RE62NPS,A2WZQ92N4809N1,0.1
Random,165283," I think I speak correctly when I say that Cameron's love is pure.  Purer than say -- Joey Dorsey's.
",1,0,0,0,7,AS8T4IKYL4V7F,AMJAP6BGF5LVM,A302M81U0HM7RJ,A872FSFU7WV6W,A2WZQ92N4809N1,0.7
Random,135035," Enough with the Barbie n' Ken shit. I know.
",1,0,0,0,3,AISPSIJ54U4SC,A1QV3X9YMQQ3OQ,AC25X12LNYY6Y,AZOAW8JH5HJJK,AEYHIQUDWJ3KV,0.3
Random,629394," Come on, don't you screw with her, please!  You... you got to want this: armored car job.  CalTrust Bank. They took two million in cash...
",2,0,7,0,7,AO5E3LWBYM72K,AC25X12LNYY6Y,AD1IH74UX9IAI,A38N58BSMTA0BE,AZOAW8JH5HJJK,0.7
Random,629397," Do you have coffee?
",1,0,0,0,7,A1R4VG71V6XECZ,A2WKPCZU4U110T,A1BJTTNDDFZ3ZP,A3E157ZN8XPUKJ,A1RT9SQ9D9DLOV,0.7
Random,486339," Right.  The entire brain appears to have been extracted.  May I see it, please?
",2,0,10,0,10,A2WKPCZU4U110T,AVHARSCRX7M9E,A2ULMYRKQMNNFG,A3E11SHVDD48Z8,AZ1RJVNOZFIWV,1
Random,594350," Are we going to argue?
",1,0,0,0,7,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A2AMGE57IJVSHF,A3U7P73AIQVS9S,0.7
Random,265022," Will you come in, please?
",1,0,0,0,7,A1T5YMBH35PDBX,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A2GODV4YZGD8X9,0.7
Random,153974," And... I don't know... I mean, six months ago I-I woulda done it. I woulda done it, just to please him.
",1,0,0,0,5,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A29B522D0BX6HN,AIPK94CUWL45W,0.5
Random,120056," Well, just so you know.  I gave you guys the credit.
",1,0,0,0,3,A1T5YMBH35PDBX,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,ASMS4TMF7H5CR,0.3
Random,629399," What was that, Korfin?
",1,0,0,0,3,AE3D6SE2D8UPQ,A6YO9886DY2SC,A3L8MJ1C4OEDGV,ARYGQ46IMW8AU,A3EJ5TT2ZGBIDA,0.3
Random,51606," He asks when he can come to visit you.  He left his address.
",1,0,0,0,7,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A2AMGE57IJVSHF,A3U7P73AIQVS9S,0.7
Random,98462," How perfect for you -- to take whatever you want because it pleases you.  It's not love --
",1,0,0,0,5,A2UFD1I8ZO1V4G,ARYGQ46IMW8AU,A3H7G3TQXAYGYD,A3EJ5TT2ZGBIDA,A1F4D2PZ7NNWTL,0.5
Random,507179," â€”a beautiful pair of shoulders! But listen now, as a favor, will you please make it snappy, Laughing Waters,[14] and tell Stew Smith I gotta see him because if you don't my whole family's going to die.
",1,0,0,0,10,A233ONYNWKDIYF,APDWVWS2HMSFD,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A3IHLWMZNBLUR4,1
Random,106353," I have no interest in ever looking at you, Hector.  Could you please cut me down?
",1,0,0,0,3,ANGX5PAAYGL9P,ANMGOZ451W9ZN,A1KC138MX47DXA,A1F4D2PZ7NNWTL,AZ1RJVNOZFIWV,0.3
Random,119992," Mr. White, please, I promised those people I'd get back to them by this morning. What do you think?
",1,0,0,0,7,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A3GOI327COFGY5,0.7
Random,421085," Please put your clothes on, please --
",1,0,0,0,10,A233ONYNWKDIYF,A1E0EK09CA5OIO,A3ACTDP7KEU5IW,A2JBYOEZH64Y5E,ARWMIQV2EW4PO,1
Random,335962," After that, I swore I'd never do anything just because ""everyone else"" was doing it.  And I haven't since. Except for Bogey's party, and my stunning gastro-intestinal display --
",1,0,0,0,5,A233ONYNWKDIYF,A1BJTTNDDFZ3ZP,ARYGQ46IMW8AU,AC25X12LNYY6Y,A2BKPNKU3EG41Z,0.5
Random,509501," I am very pleased to meet you.
",1,0,0,0,5,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,ANVEDG15GV3QE,A29B522D0BX6HN,0.5
Random,373210," Who are you trying to please? Yourself?  Her?  Which her, this one or that one.  Can you face both?  We are in a situation that is beyond morality.  So: Leave with her.  You'll see the transformation.
",1,0,0,0,3,AE3D6SE2D8UPQ,A22SZHZTF72TRM,A3CA5S8GR8TZ1U,A1F4D2PZ7NNWTL,AEYHIQUDWJ3KV,0.3
Random,601735," I let her take a shower.
",1,0,0,0,5,A233ONYNWKDIYF,A34A6MSJTD9A4L,AO5E3LWBYM72K,AQWC8BPA9JB7T,A37ADCYLCSB5O2,0.5
Random,437991," This is Esper and I'm ready.  Go ahead please.
",1,0,0,0,7,A233ONYNWKDIYF,A2EJ6MKRFATU5I,AD317NO9623GZ,A3S5L3I8O3Q2G,A3IHLWMZNBLUR4,0.7
Random,393977," No. please. I won't.
",1,0,0,0,7,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,AIPK94CUWL45W,0.7
Random,616600," I'll try to remember that, Marchena...
",1,0,0,0,7,A2YFPO0N4GIS25,A34A6MSJTD9A4L,A204JAK7QRDWVM,A1KC138MX47DXA,A13CO3B2BRXQLZ,0.7
Random,261450," You got him involved?
",1,0,0,0,3,A6YO9886DY2SC,A1T546143DSJDI,A3CFNUD7VR2E1E,A2LQ33BQ8G259D,A2UBXHCHM2I6IL,0.3
Random,247684," No!  No!  Don't leave!  Don't leave! You've gotta help us, please!  You don't know what it's like over here!
",1,0,0,0,7,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A3IHLWMZNBLUR4,0.7
Random,25445," Is this about Sarah Lawrence? You punishing me?
",1,0,0,0,1,A2ZABRSFZKUOKV,AC25X12LNYY6Y,A22CF8BF9YQND7,A13CO3B2BRXQLZ,A3HZVDLYFUZ7KE,0.1
Random,467055," That's what it says.
",1,0,0,0,5,AO5E3LWBYM72K,A3MN5VOZFQPNZF,A1E0EK09CA5OIO,A1F4D2PZ7NNWTL,AZOAW8JH5HJJK,0.5
Random,240036," Yes, sir. Trust is a twoâ€”way street. In the past two years I've been pleased to note that you and Mrs. Kelcher have, uh, fulfilled your sacred trust of being good parents to the, uh, woman I plan to take off your hands.
",1,0,0,0,7,A233ONYNWKDIYF,APDWVWS2HMSFD,A3GOI327COFGY5,A29B522D0BX6HN,A3IHLWMZNBLUR4,0.7
Random,130240," Patronizing you... Nay, I love you.
",1,0,0,0,7,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A3IHLWMZNBLUR4,0.7
Random,379688," Defuse the bomb, please.
",1,0,0,0,7,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A26YKYQIA3GX8B,A2QH1BQA6GR48O,A28ZB4ZB13BWAI,0.7
Random,623417," God... you're so beautiful!  I can't believe no other man has ever taken you away from me...
",1,0,0,0,10,A1486XFUE4FA27,A2WKPCZU4U110T,A2UFD1I8ZO1V4G,AC25X12LNYY6Y,A872FSFU7WV6W,1
Random,565816," Will you please stop smoking?
",1,0,0,0,3,AYG3MF094634L,AVHARSCRX7M9E,AHH34KPTA2LSS,A38WUWONC7EXTO,A2JKFTV0JXWMI6,0.3
Random,581772," It's that hot rod Joey, right? That ' s who you want me to bend my rules for?
",1,0,0,0,3,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A3S5L3I8O3Q2G,A3IHLWMZNBLUR4,ANS7S6PUWTLF7,0.3
Random,627133," He died well, that should please you. No bribe attempts or blubbering. He simply said, ""Please. Please, I need to live."" It was the ""please"" that caught my memory.  ---------------------------------------------------------------------------                                                           53.
",2,0,10,0,7,A16PRU8T6NZLN5,A1BJTTNDDFZ3ZP,AVHARSCRX7M9E,AQWC8BPA9JB7T,A1KC138MX47DXA,0.85
Random,167602," I'm invoking rights - this man is represented by counsel.  I'm coming with him.
",1,0,0,0,5,AYG3MF094634L,A1F4D2PZ7NNWTL,A3G7QIYLFOXFG7,AZOAW8JH5HJJK,A1Y3Z92RE62NPS,0.5
Random,622946," And who would you think of, for such a task?
",1,0,0,0,3,A233ONYNWKDIYF,A2X9AEDAHF7O7S,AYG3MF094634L,A1F4D2PZ7NNWTL,AZOAW8JH5HJJK,0.3
Random,128270," And you come into Mrs. Ryan's apartment as often as you please, looking into various health matters?
",2,0,5,0,5,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,0.5
Random,624679," Icarus, please, if you want me to give you a bath just say so.
",2,0,7,0,7,A2UFD1I8ZO1V4G,A2QN0EGBRGJU1M,A1HGJ7P0U12ZH8,A2MWGIVIKOXWYM,A3TFQK7QK8X6LM,0.7
Random,85321," ...apartment.  No, no. Please. You don't know who we're dealing with, I, please believe me, they...
",2,0,10,0,7,A2UFD1I8ZO1V4G,A1QV3X9YMQQ3OQ,A1BJTTNDDFZ3ZP,AVHARSCRX7M9E,A13CO3B2BRXQLZ,0.85
Random,231061," Or Czechoslovakia.  The Slavs have been fighting the Germans and the Russians for a thousand years.  These are very intense people and they take things personally.
",1,0,0,0,5,A233ONYNWKDIYF,AI4WWBB2PNCKH,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,A2CE0KVP4A8J8K,0.5
Random,623384," Hell, I've just been going over the whole thing in my head and -
",1,0,0,0,3,A2WKPCZU4U110T,AVHARSCRX7M9E,A2ULMYRKQMNNFG,A3E11SHVDD48Z8,AZ1RJVNOZFIWV,0.3
Random,328466," Because then I'd have to start taking out girls who like me.
",2,0,3,0,5,A2VMJFBCB921NI,AJSVV9WS1SF2I,AVV4KDLSDAS9E,A1F4D2PZ7NNWTL,A1Y3Z92RE62NPS,0.4
Random,389209," Let's not start on that again, Jeff -- please. I'm just beginning to get over it.
",2,0,10,0,7,A233ONYNWKDIYF,A34A6MSJTD9A4L,AO5E3LWBYM72K,AQWC8BPA9JB7T,A37ADCYLCSB5O2,0.85
Random,43509," Sure do ... my Mom's from Canada
",2,0,1,0,7,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A6YO9886DY2SC,AYG3MF094634L,A1BJTTNDDFZ3ZP,0.4
Random,404995," May I please have another little kiss?
",1,0,0,0,10,A1T5YMBH35PDBX,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A2QH1BQA6GR48O,A207OR9LV0PAPY,1
Random,618995," I am, Your Eminence
",2,0,10,0,7,A2UFD1I8ZO1V4G,AYG3MF094634L,A3L8MJ1C4OEDGV,A3TFQK7QK8X6LM,AZ1RJVNOZFIWV,0.85
Random,101545," You went to the party?  I thought we were officially opposed to suburban social activity.
",2,0,3,0,3,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A28TXBSZPWMEU9,A2QH1BQA6GR48O,AIPK94CUWL45W,0.3
Random,192086," I want to meet her one day, please tell her the great news.  I'm OUT like Vanilla Ice.
",1,0,0,0,7,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A3GOI327COFGY5,0.7
Random,579195," Joey never told you we went out, did he?
",2,0,5,0,5,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,AIPK94CUWL45W,0.5
Random,81625," Would you go up, please?
",1,0,0,0,7,ANGX5PAAYGL9P,ANMGOZ451W9ZN,A1KC138MX47DXA,A1F4D2PZ7NNWTL,AZ1RJVNOZFIWV,0.7
Random,509055," A Maker's Mark, please. Up.
",1,0,0,0,3,A233ONYNWKDIYF,A22SZHZTF72TRM,AHH34KPTA2LSS,A1F4D2PZ7NNWTL,A1DTQSIIYIZL62,0.3
Random,348604," Immediately.  Is this the Daily News? Melanie Daniels. Would you get me the city desk, please?
",1,0,0,0,7,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,AIPK94CUWL45W,0.7
Random,489947," Eddie, are you okay?
",1,0,0,0,10,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,ANVEDG15GV3QE,A29B522D0BX6HN,1
Random,297566," Well, I surely know what a quadrant is!  But I've never seen it used at night before.
",1,0,0,0,3,A3L8MJ1C4OEDGV,A1BJTTNDDFZ3ZP,A26NYABOD7YBW8,A38WUWONC7EXTO,A1F4D2PZ7NNWTL,0.3
Random,622385," To rise so high, in so short a time, is a dangerous occupation.  A little hypocrisy goes a long way.
",1,0,0,0,3,A1VE0KG5BAO7EU,A3454T4PU9GJM0,A2ULMYRKQMNNFG,A872FSFU7WV6W,A1F4D2PZ7NNWTL,0.3
Random,128291," No! Please! Please, please, please, please, don't ask me!
",1,0,0,0,10,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A2QH1BQA6GR48O,1
Random,349733," Never, Your Majesty.  Although...
",1,0,0,0,7,A2UFD1I8ZO1V4G,A6YO9886DY2SC,A1KC138MX47DXA,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,0.7
Random,556719," I guess it was a little too inconvenient. So for fourteen years, this stuff flowed into the groundwater, free as you please.
",1,0,0,0,5,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2VMJFBCB921NI,AYG3MF094634L,A1F4D2PZ7NNWTL,0.5
Random,628846," Mental illness is an elusive thing, and though I'm pleased you're feeling more... capable, it's perhaps unrealistic to expect you to be completely cured after so short a time. Don't you agree?
",1,0,0,0,7,A6YO9886DY2SC,A1T546143DSJDI,A3CFNUD7VR2E1E,A2LQ33BQ8G259D,A2UBXHCHM2I6IL,0.7
Random,9522," Gentlemen... may the wind be at our backs. Stations please!
",1,0,0,0,7,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,ARSOFYBFN51Q0,A28TXBSZPWMEU9,A00613921OIEGJA322163,0.7
Random,489419," Jabez -- for the good of your soul ... please come with us.
",1,0,0,0,10,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,AYG3MF094634L,A13CO3B2BRXQLZ,A38N58BSMTA0BE,1
Random,150604," No -- something real.  Something no one else knows.
",1,0,0,0,3,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A1GIK4ZW3WYSTU,A3S5L3I8O3Q2G,A2AMGE57IJVSHF,0.3
Random,604911," Then that's all you had to say.
",1,0,0,0,3,A1T5YMBH35PDBX,A233ONYNWKDIYF,APMYUTI3V3Y6R,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,0.3
Random,407407," Hello.  May I please speak with Diane please?
",2,0,10,0,7,A233ONYNWKDIYF,AI4WWBB2PNCKH,A2UFD1I8ZO1V4G,A1W2G1N4BDF2DW,A3S5L3I8O3Q2G,0.85
Random,95558," Cool pictures.  You a fan?
",1,0,0,0,7,A2UFD1I8ZO1V4G,A1UEZLJ583HSV5,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,AIPK94CUWL45W,0.7
Random,427348," Also, Melinda, please don't tell anybody at the store that Albert was here tonight, okay.
",2,0,7,0,7,A233ONYNWKDIYF,A22SZHZTF72TRM,A3BA2LVL6Y7YO7,AVHARSCRX7M9E,AMJAP6BGF5LVM,0.7
